k_start;n1_est;n2_est;n1_real;n2_real;err1;err2
1000;71;213;71;213;0.41923391854269737;0.4783359659188533
10000;71;213;71;213;0.079978304;0.39009903672970886
100000;71;213;71;213;0.077092449;0.3871730180986056
1000000;71;213;71;213;0.060568209660042914;0.27922619684343584
10000000;71;213;71;213;0.041585869;0.25042843641466015
