k_start;n1_est;n2_est;n1_real;n2_real;err1;err2
1000;67;203;67;203;0.24377314387587393;0.36724708
10000;67;203;67;203;0.2200465331214557;0.3397376934444101
100000;67;203;67;203;0.163371636;0.3362601744040368
1000000;67;203;67;203;0.071690311;0.30665729036076907
10000000;67;203;67;203;0.048539818;0.2732269742350408
