k_start;n1_est;n2_est;n1_real;n2_real;err1;err2
1000;39;119;39;119;0.138699857;0.372643442
10000;39;119;39;119;0.091361275;0.357373856
100000;39;119;39;119;0.06660103;0.281428751
1000000;39;119;39;119;0.06156174;0.258181685
10000000;39;119;39;119;0.026929725;0.204174976
